,Instructor,Course,Term,Enroll,Evals,Rcmnd_Class,Rcmnd_Instructor,Study_Hrs_Per_Wk,Grade_Expected,Grade,Link
281,"Yagil, Avi","PHYS 1CL - Waves,Optics&Modrn Phys Lab 0",SP13,446,161,71.1,76.1,3.52,3.5,3.42,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772299
282,"Dudko, Olga",PHYS 2A - Physics-Mechanics A,SP13,324,120,89.9,93.3,6.88,3.17,2.92,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772336
283,"Lin, Shiowhwa",PHYS 2A - Physics-Mechanics B,SP13,128,36,85.7,54.3,5.17,3.0,2.63,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=780854
284,"Anderson, Michael G.",PHYS 2B - Phys-Electricity and Magnetism A,SP13,340,118,93.1,96.6,6.29,3.11,2.76,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772338
285,"Michelsen, Eric Leonard",PHYS 2B - Phys-Electricity and Magnetism B,SP13,354,149,91.9,89.2,5.5,3.28,2.95,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772340
286,"Sharma, Vivek A.",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,SP13,243,88,56.8,81.8,6.25,3.24,2.96,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772343
287,"Wuerthwein, Frank","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics A",SP13,295,94,89.4,90.4,6.05,3.47,3.17,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772353
288,"Shpyrko, Oleg","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",SP13,292,95,45.3,88.4,7.46,3.39,3.16,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772356
289,"Schoetz, Eva-Maria",PHYS 2D - Phys-Relativity&Quantm Physics A,SP13,194,56,42.9,46.4,9.63,2.59,2.54,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772366
290,"Butov, Leonid",PHYS 2DL - Physics Lab-Modern Physics A,SP13,44,13,84.6,84.6,5.5,3.75,3.33,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772369
291,"Hirsch, Jorge Eduardo","PHYS 4B - Phys Majrs-Mech,Fluid,Wav,Heat A",SP13,35,15,92.9,35.7,9.36,2.83,3.22,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772372
292,"Manohar, Aneesh Vasant",PHYS 4E - Physics Majors-Quantum Physics A,SP13,15,8,100.0,100.0,6.17,3.5,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772374
293,"Tytler, David Robert",PHYS 9 - The Solar System A,SP13,34,12,50.0,33.3,3.17,3.8,3.7,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772376
294,"Tytler, David Robert",PHYS 10 - Concepts In Physics A,WI13,193,90,58.0,58.0,4.69,3.29,3.08,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762569
295,"Surko, Clifford M",PHYS 100B - Electromagnetism A,WI13,61,23,91.3,65.2,8.5,3.04,2.88,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762573
296,"Dubin, Daniel Herschel",PHYS 105B - Mathematical&Computational Phy A,WI13,23,11,90.9,100.0,14.9,3.4,2.82,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762574
297,"Wu, Congjun",PHYS 110B - Mechanics A,WI13,36,17,94.1,76.5,6.62,3.67,3.15,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762576
298,"Murphy, Thomas",PHYS 120B - Physical Measurements A,WI13,18,15,93.3,86.7,9.7,3.79,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762579
299,"Burgasser, Adam Jonathan",PHYS 13 - Life in the Universe A,WI13,16,10,100.0,100.0,4.7,3.88,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762571
300,"McGreevy, John A.",PHYS 130C - Quantum Physics III A,WI13,22,20,95.0,95.0,8.92,3.41,3.35,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762581
301,"Burgasser, Adam Jonathan",PHYS 139 - Special Topics B,WI13,6,2,100.0,100.0,5.5,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=775433
302,"Melis, Carl Anthony",PHYS 139 - Special Topics B,WI13,6,4,100.0,100.0,8.0,3.67,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=775433A
303,"Fogler, Michael M.",PHYS 140B - Statistical & Thermal Physics A,WI13,15,10,70.0,70.0,7.39,3.11,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762583
304,"Kuti, Julius",PHYS 141 - Comp Phys I:Prob Models & Simu A,WI13,7,2,100.0,100.0,6.5,3.5,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762585
305,"Butov, Leonid",PHYS 152A - Condensed Matter Physics A,WI13,14,6,100.0,100.0,3.17,3.5,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762587
306,"Griest, Kim",PHYS 161 - Black Holes & Milky Way Galaxy A,WI13,28,17,100.0,100.0,6.97,3.29,3.22,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762589
307,"Hwa, Terence T.",PHYS 176 - Quantitative Molecular Biology A,WI13,2,1,100.0,100.0,0.0,,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762591
308,"Abarbanel, Henry Don Isaac",PHYS 178 - Biophysics/Neurons & Networks A,WI13,10,4,100.0,75.0,6.5,3.5,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762592
309,"Kleinfeld, David",PHYS 178 - Biophysics/Neurons & Networks A,WI13,10,4,100.0,100.0,7.83,3.5,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762592A
310,"Smith, Douglas E",PHYS 1A - Mechanics A,WI13,172,76,70.7,66.7,5.69,3.11,2.92,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762488
311,"Yagil, Avi",PHYS 1AL - Mechanics Laboratory 0,WI13,171,75,68.6,80.0,4.2,3.27,3.24,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762489
312,"Groisman, Alexander",PHYS 1B - Electricity and Magnetism A,WI13,341,137,65.9,59.3,5.74,3.03,2.75,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762496
313,"Groisman, Alexander",PHYS 1B - Electricity and Magnetism B,WI13,142,59,60.3,56.9,5.48,3.14,2.75,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762497
314,"Kishimoto, Chad T.",PHYS 1B - Electricity and Magnetism C,WI13,90,55,72.2,83.3,7.73,3.21,3.05,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762498
315,"Yagil, Avi",PHYS 1BL - Electricity & Magnetism Lab 0,WI13,547,216,73.4,79.0,3.63,3.46,3.28,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762499
316,"Branson, James G","PHYS 1C - Waves, Optics & Modern Physics A",WI13,121,48,55.3,29.8,5.39,3.15,2.72,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762525
317,"Yagil, Avi","PHYS 1CL - Waves,Optics&Modrn Phys Lab 0",WI13,121,46,65.9,68.2,3.88,3.51,3.35,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762526
318,"Grinstein, Benjamin",PHYS 2A - Physics-Mechanics A,WI13,193,97,74.7,30.5,6.91,2.82,2.82,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762533
319,"Grinstein, Benjamin",PHYS 2A - Physics-Mechanics B,WI13,346,147,80.7,35.9,6.6,3.13,2.82,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762535
320,"Grinstein, Benjamin",PHYS 2A - Physics-Mechanics C,WI13,338,137,74.1,43.7,6.74,3.02,2.82,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762537
321,"Sinha, Sunil K",PHYS 2B - Phys-Electricity and Magnetism A,WI13,342,148,80.1,82.2,6.92,3.35,3.1,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762539
322,"Yagil, Avi",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,WI13,106,45,44.4,62.2,6.37,3.04,2.91,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762542
323,"Lin, Shiowhwa","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics A",WI13,266,110,66.1,29.4,5.69,3.0,2.83,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762548
324,"Maple, M. Brian","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",WI13,223,91,32.2,63.3,8.34,3.15,3.04,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762551
325,"Branson, James G",PHYS 2D - Phys-Relativity&Quantm Physics A,WI13,138,51,68.0,40.0,6.08,3.04,2.72,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762561
326,"Griest, Kim",PHYS 4A - Physics/Physics Majrs-Mechancs A,WI13,48,17,94.1,94.1,5.68,3.18,2.98,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762563
327,"Manohar, Aneesh Vasant","PHYS 4D - Phys Majrs-EM Wav,Opt,Spec Rel A",WI13,15,10,90.0,90.0,8.3,3.25,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762565
328,"Keres, Dusan",PHYS 7 - Galaxies and Cosmology A,WI13,21,15,86.7,93.3,4.5,3.36,3.11,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762567
329,"Surko, Clifford M",PHYS 100A - Electromagnetism A,FA12,71,29,92.6,66.7,7.69,2.96,2.78,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752472
330,"Dubin, Daniel Herschel",PHYS 105A - Mathematical&Computational Phy A,FA12,66,25,68.2,90.9,12.21,2.95,2.67,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752473
331,"Tytler, David Robert",PHYS 11 - Survey of Physics A,FA12,167,54,84.6,80.8,4.54,3.64,3.06,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752468
332,"Murphy, Thomas",PHYS 110A - Mechanics A,FA12,70,32,96.6,86.2,8.84,3.22,2.85,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752477
333,"Smith, Douglas E",PHYS 121 - Experimental Techniques A,FA12,21,14,100.0,100.0,4.83,3.67,3.65,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=760173
334,"Keating, Brian",PHYS 130B - Quantum Physics II A,FA12,48,46,95.6,77.8,6.36,3.09,3.08,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752481
335,"Arovas, Daniel P",PHYS 140A - Statistical & Thermal Physics A,FA12,48,28,91.3,82.6,7.68,3.09,3.01,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752483
336,"Wolfe, Arthur Michael",PHYS 160 - Stellar Astrophysics A,FA12,22,11,90.9,81.8,6.86,3.27,2.88,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752485
337,"Dudko, Olga",PHYS 175 - Fundamentls/Biological Physics A,FA12,9,4,100.0,100.0,5.5,3.5,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752487
338,"Paar, Hans Peter",PHYS 191 - Undergraduate Seminar/Physics A,FA12,22,12,100.0,100.0,2.5,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752488
339,"Sutterley, Christel Johanna",PHYS 1A - Mechanics C,FA12,319,116,83.0,83.0,5.83,3.17,2.99,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752382
340,"Burgasser, Adam Jonathan",PHYS 1A - Mechanics D,FA12,172,137,82.2,88.1,6.47,3.14,3.14,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=758822
341,"Burgasser, Adam Jonathan",PHYS 1A - Mechanics E,FA12,228,192,81.8,89.3,7.66,3.15,3.14,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=758824
342,"Groisman, Alexander",PHYS 1AL - Mechanics Laboratory 0,FA12,694,311,71.0,69.6,4.14,3.25,3.2,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752383
343,"Maple, M. Brian",PHYS 1B - Electricity and Magnetism A,FA12,174,65,81.4,57.6,5.82,3.4,2.89,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=758458
344,"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab A,FA12,22,11,100.0,77.8,4.5,3.56,3.15,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752416
345,"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab B,FA12,20,7,85.7,57.1,2.79,3.57,3.15,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752417
346,"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab C,FA12,21,7,66.7,83.3,4.1,3.83,3.15,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752418
347,"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab D,FA12,20,7,57.1,71.4,3.36,3.29,3.15,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752419
348,"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab F,FA12,25,7,71.4,57.1,3.36,3.71,3.15,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752421
349,"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab G,FA12,12,3,66.7,0.0,1.83,4.0,3.15,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752422
350,"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab H,FA12,20,5,100.0,100.0,3.7,3.8,3.15,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752423
351,"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab I,FA12,15,3,66.7,66.7,6.5,2.33,3.15,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=767255
352,"Smith, Douglas E","PHYS 1C - Waves, Optics & Modern Physics A",FA12,175,65,73.3,86.7,5.52,3.56,2.94,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752424
353,"Groisman, Alexander","PHYS 1CL - Waves,Optics&Modrn Phys Lab 0",FA12,163,55,67.3,53.1,4.24,3.5,3.21,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752425
354,"Sinha, Sunil K",PHYS 2A - Physics-Mechanics A,FA12,344,162,80.3,71.8,7.26,3.21,3.28,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752436
355,"Rappel, Wouter Jan",PHYS 2B - Phys-Electricity and Magnetism A,FA12,342,126,75.6,84.0,6.69,3.24,2.48,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752438
356,"Wuerthwein, Frank",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,FA12,161,60,62.1,56.9,6.09,3.37,2.95,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752441
357,"Griest, Kim","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics A",FA12,210,74,83.3,88.9,5.74,3.29,2.67,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752448
358,"Anderson, Michael G.","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics B",FA12,295,127,86.8,95.0,5.57,3.34,2.95,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752450
359,"Anderson, Michael G.","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",FA12,221,92,26.4,68.9,8.61,2.99,3.03,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752453
360,"Manohar, Aneesh Vasant",PHYS 4C - Phys Majrs-Elect & Magnetism A,FA12,17,13,72.7,72.7,11.23,2.33,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752464
361,"Coil, Alison",PHYS 5 - The Universe A,FA12,52,20,85.0,85.0,4.9,3.44,3.16,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=752466
362,"Fuller, George Michael",PHYS 87 - Freshman Seminar A,FA12,18,10,88.9,88.9,0.5,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=755831
363,"Hicks, J. Charles",PHYS 1A  - Mechanics                      A,S212,48,6,40.0,33.3,8.5,3.0,2.52,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748223
364,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           A,S212,24,1,,,,,3.13,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748224
365,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           B,S212,14,1,100.0,0.0,6.5,3.0,3.13,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748225
366,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           C,S212,7,4,75.0,66.7,4.0,3.75,3.13,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748226
367,"Conger, Casey J",PHYS 1B  - Electricity and Magnetism      A,S212,54,12,66.7,25.0,9.0,3.0,2.81,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748227
368,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab    A,S212,17,3,100.0,100.0,3.83,3.33,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748228
369,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab    B,S212,15,2,100.0,100.0,3.5,4.0,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748229
370,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab    C,S212,13,2,100.0,100.0,7.5,3.0,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748230
371,"Agarwal, Prarit","PHYS 1C  - Waves, Optics & Modern Physics A",S212,79,18,77.8,76.5,8.06,3.47,3.32,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748232
372,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab    A",S212,25,5,60.0,100.0,6.5,3.6,3.39,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748233
373,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab    B",S212,24,7,85.7,100.0,6.21,3.71,3.39,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748234
374,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab    C",S212,23,3,66.7,33.3,6.5,3.67,3.39,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748235
375,"Uttayarat, Patipan",PHYS 2B  - Phys-Electricity and Magnetism A,S212,81,25,72.0,52.0,12.74,2.75,3.03,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748236
376,"Stone, David Curtis","PHYS 2C  - Physics-Flu,Wav,Thrmdyn,Optics A",S212,86,20,80.0,80.0,10.6,3.21,2.78,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748238
377,"Anderson, Michael G.","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",S212,89,26,30.8,57.7,13.38,3.04,2.96,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748240
378,"Murphy, Christopher W",PHYS 2D  - Phys-Relativity&Quantm Physics A,S212,154,58,61.4,21.1,10.26,2.85,2.93,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748244
379,"Diamond-Stanic, Aleksandar",PHYS 1A  - Mechanics                      A,S112,66,29,86.2,96.6,10.22,3.34,3.19,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747184
380,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           A,S112,17,10,70.0,90.0,6.94,3.5,3.41,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747185
381,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           B,S112,14,3,100.0,100.0,5.17,3.67,3.41,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747186
382,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           C,S112,17,6,83.3,83.3,4.5,3.17,3.41,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747187
383,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           D,S112,9,4,100.0,100.0,8.5,3.75,3.41,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747189
384,"Agarwal, Prarit",PHYS 1B  - Electricity and Magnetism      A,S112,58,14,85.7,64.3,7.93,3.36,3.16,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747190
385,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab    A,S112,21,5,100.0,60.0,6.9,3.8,3.23,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747191
386,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab    B,S112,18,4,75.0,75.0,9.5,3.5,3.23,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747192
387,"Aslanyan, Grigor","PHYS 1C  - Waves, Optics & Modern Physics A",S112,48,14,78.6,92.9,9.64,2.92,2.72,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747194
388,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab    A",S112,12,6,83.3,100.0,7.5,3.5,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747195
389,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab    B",S112,11,1,100.0,100.0,6.5,4.0,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747196
390,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab    C",S112,17,3,66.7,66.7,4.5,3.67,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747197
391,"Uttayarat, Patipan",PHYS 2A  - Physics-Mechanics              A,S112,77,18,27.8,33.3,10.39,2.59,2.41,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747198
392,"Stergiou, Andreas",PHYS 2B  - Phys-Electricity and Magnetism A,S112,99,26,92.3,69.2,7.73,3.16,2.49,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747200
393,"Austrum, Tera Lyn",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,S112,64,24,87.5,87.5,10.15,3.75,3.01,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747202
394,"Conger, Casey J","PHYS 2C  - Physics-Flu,Wav,Thrmdyn,Optics A",S112,69,30,90.0,80.0,8.36,3.37,2.78,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747206
395,"Shpyrko, Oleg",PHYS 100C  - Electromagnetism               A,SP12,32,12,100.0,90.9,5.05,3.5,3.37,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744508
396,"Driscoll, Charles F.",PHYS 120A  - Physical Measurements          A,SP12,41,18,94.1,100.0,12.39,3.5,3.51,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744510
397,"Branson, James G",PHYS 130A  - Quantum Physics I              A,SP12,56,23,87.0,69.6,9.02,3.09,2.86,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744514
398,"Maple, M. Brian",PHYS 133   - Condensed Matter/Material Sci  A,SP12,7,2,50.0,100.0,9.5,3.5,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744516
399,"Intriligator, Kenneth Arthur",PHYS 137   - String Theory                  A,SP12,11,5,100.0,100.0,5.7,3.0,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744517
400,"Kuti, Julius",PHYS 142   - Comp Phys II:PDE & Matrix Modl A,SP12,5,4,100.0,100.0,7.5,4.0,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744518
401,"Manohar, Aneesh Vasant",PHYS 154   - Elementary Particle Physics    A,SP12,13,6,100.0,83.3,5.83,3.33,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744521
402,"Coil, Alison",PHYS 162   - Galaxies and Cosmology         A,SP12,28,12,91.7,100.0,7.33,3.33,3.35,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744522
403,"Kleinfeld, David",PHYS 173   - Modern Physics Lab:Bio&Quantum A,SP12,11,4,75.0,50.0,5.0,3.75,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744524
404,"Kishimoto, Chad T.",PHYS 1A  - Mechanics                      A,SP12,197,97,77.3,70.1,7.81,3.16,3.01,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744386
405,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           01,SP12,24,9,77.8,66.7,3.61,3.67,3.34,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744387
406,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           02,SP12,20,10,100.0,90.0,4.3,3.4,3.34,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744388
407,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           03,SP12,26,15,86.7,86.7,3.64,3.64,3.34,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744389
408,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           04,SP12,16,5,60.0,80.0,4.9,3.25,3.34,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744393
409,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           05,SP12,23,9,66.7,66.7,5.61,3.38,3.34,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744394
410,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           06,SP12,10,7,85.7,71.4,3.64,3.71,3.34,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744395
411,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           07,SP12,12,6,83.3,83.3,5.17,3.67,3.34,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744396
412,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           08,SP12,11,6,83.3,66.7,3.7,3.6,3.34,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744397
413,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           09,SP12,17,6,83.3,66.7,3.5,3.33,3.34,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744398
414,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           10,SP12,15,9,100.0,100.0,6.0,3.78,3.34,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744399
415,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           11,SP12,8,5,60.0,60.0,4.5,3.75,3.34,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744400
416,"Michelsen, Eric Leonard",PHYS 1B  - Electricity and Magnetism      A,SP12,184,86,65.5,66.3,7.67,3.01,2.85,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744401
417,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab    01,SP12,8,2,0.0,50.0,3.5,3.5,3.29,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744402
418,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab    02,SP12,20,9,55.6,55.6,3.39,3.5,3.29,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744403
419,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab    03,SP12,21,9,44.4,33.3,3.61,3.5,3.29,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744404
420,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab    04,SP12,16,9,71.4,85.7,4.79,3.67,3.29,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744405
