,Instructor,Course,Term,Enroll,Evals,Rcmnd_Class,Rcmnd_Instructor,Study_Hrs_Per_Wk,Grade_Expected,Grade,Link
821,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab    C,SU09,23,14,53.8,30.8,5.5,3.46,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=663249
822,"Alvarez-Cabanillas, Miguel","PHYS 1C  - Waves, Optics & Modern Physics A",SU09,91,42,81.0,41.5,6.79,3.51,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=657088
823,"Chiu, Jui-Yu","PHYS 1C  - Waves, Optics & Modern Physics A",SU09,71,21,85.7,57.1,7.83,3.42,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=656456
824,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab    A",SU09,25,7,100.0,100.0,6.5,3.71,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=656503
825,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab    A",SU09,27,10,90.0,90.0,5.5,4.0,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=657089
826,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab    B",SU09,21,7,85.7,71.4,4.83,3.86,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=663256
827,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab    B",SU09,21,5,100.0,100.0,6.5,4.0,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=663960
828,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab    C",SU09,21,7,85.7,100.0,3.36,3.86,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=663961
829,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab    C",SU09,18,4,100.0,100.0,3.5,4.0,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=663257
830,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab    D",SU09,16,7,100.0,100.0,3.64,3.57,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=665982
831,"Kelley, Randall Scott",PHYS 2A  - Physics-Mechanics              A,SU09,44,17,88.2,88.2,9.21,3.35,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=656459
832,"Lever, Edward Lawrence",PHYS 2B  - Phys-Electricity and Magnetism A,SU09,95,57,94.7,96.4,5.83,3.65,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=657090
833,"Zhang, Lingfeng Matthew",PHYS 2B  - Phys-Electricity and Magnetism A,SU09,66,16,68.8,50.0,9.63,2.94,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=656455
